model,num_samples,seed,dataset,accuracy,f1,true_positive_rate,true_negative_rate,negative_support,positive_support,roc_auc,average_precision
qwen3_8b,100,seed_2,wildguardtest,0.8328428487345497,0.7953890489913544,0.7320954907161804,0.9132275132275133,945,754,0.8974801061007959,0.8774682731118378
qwen3_8b,1000,seed_2,wildguardtest,0.8693349028840495,0.8438818565400844,0.7957559681697612,0.928042328042328,945,754,0.9137131068165552,0.8974534595966333
qwen3_8b,10000,seed_2,wildguardtest,0.886992348440259,0.8666666666666667,0.8275862068965517,0.9343915343915344,945,754,0.942479614893408,0.9269817416292818
qwen3_8b,20000,seed_2,wildguardtest,0.8875809299587993,0.8661527680448493,0.8196286472148541,0.9417989417989417,945,754,0.943497115910909,0.9282732524449757
qwen3_8b,40000,seed_2,wildguardtest,0.8893466745144203,0.8683473389355743,0.8222811671087533,0.9428571428571428,945,754,0.9428066186686876,0.9264957460099811
qwen3_8b,10,seed_3,wildguardtest,0.8304885226603884,0.8008298755186722,0.7679045092838196,0.8804232804232804,945,754,0.8867626626247316,0.8513371258835647
qwen3_8b,100,seed_3,wildguardtest,0.8181283107710418,0.799480856586632,0.8169761273209549,0.819047619047619,945,754,0.8940220060909716,0.8690022577354265
qwen3_8b,1000,seed_3,wildguardtest,0.8699234844025897,0.8433734939759037,0.7891246684350133,0.9343915343915344,945,754,0.9191360363774158,0.9125235527890359
qwen3_8b,10000,seed_3,wildguardtest,0.8828722778104767,0.8603508771929824,0.8129973474801061,0.9386243386243386,945,754,0.9421540145678078,0.9283927049652388
qwen3_8b,20000,seed_3,wildguardtest,0.8887580929958799,0.8679245283018868,0.8236074270557029,0.9407407407407408,945,754,0.9428122324674049,0.9287339058636485
qwen3_8b,40000,seed_3,wildguardtest,0.8887580929958799,0.867739678096571,0.8222811671087533,0.9417989417989417,945,754,0.942457159698539,0.9258366647198447
qwen3_8b,10,seed_4,wildguardtest,0.7374926427310182,0.7054161162483488,0.7082228116710876,0.7608465608465609,945,754,0.7720825789791308,0.6941880559530733
qwen3_8b,100,seed_4,wildguardtest,0.8363743378457916,0.8047752808988764,0.7599469496021221,0.8973544973544973,945,754,0.8957250922768164,0.8783263704893969
qwen3_8b,1000,seed_4,wildguardtest,0.8652148322542672,0.8377037562012757,0.7838196286472149,0.9301587301587302,945,754,0.9109048040082524,0.8979871831356363
qwen3_8b,10000,seed_4,wildguardtest,0.8846380223660977,0.8625525946704067,0.8156498673740054,0.9396825396825397,945,754,0.9417133313685038,0.9238222496538275
qwen3_8b,20000,seed_4,wildguardtest,0.8864037669217186,0.8649405178446467,0.8196286472148541,0.9396825396825397,945,754,0.9428220566151599,0.9272040556055856
qwen3_8b,40000,seed_4,wildguardtest,0.8893466745144203,0.8685314685314686,0.8236074270557029,0.9417989417989417,945,754,0.9426746943988322,0.9257761809557933
