model,model_type,num_categories,dataset_type,score
olmo2_1124_13b_inst,Hidden States NMC,11,harmful,0.8469601677148847
olmo2_1124_13b_inst,Hidden States NMC,12,harmful,0.8469601677148847
olmo2_1124_13b_inst,Hidden States NMC,13,harmful,0.8469601677148847
olmo2_1124_13b_inst,Hidden States NMC,14,harmful,0.8469601677148847
olmo2_1124_7b_inst,Hidden States GDA,1,harmful,0.8444444444444444
olmo2_1124_7b_inst,Hidden States GDA,2,harmful,0.8554913294797688
olmo2_1124_7b_inst,Hidden States GDA,3,harmful,0.8626887131560029
olmo2_1124_7b_inst,Hidden States GDA,4,harmful,0.8696883852691218
olmo2_1124_7b_inst,Hidden States GDA,5,harmful,0.8719037508846426
olmo2_1124_7b_inst,Hidden States GDA,6,harmful,0.8728813559322034
olmo2_1124_7b_inst,Hidden States GDA,7,harmful,0.8761371588523443
olmo2_1124_7b_inst,Hidden States GDA,8,harmful,0.8777078965758212
olmo2_1124_7b_inst,Hidden States GDA,9,harmful,0.8808362369337979
olmo2_1124_7b_inst,Hidden States GDA,10,harmful,0.8823938761308281
olmo2_1124_7b_inst,Hidden States GDA,11,harmful,0.8825573314801946
olmo2_1124_7b_inst,Hidden States GDA,12,harmful,0.8805555555555555
olmo2_1124_7b_inst,Hidden States GDA,13,harmful,0.8828828828828829
olmo2_1124_7b_inst,Hidden States GDA,14,harmful,0.883367839889579
olmo2_1124_7b_inst,Hidden States Maha,1,harmful,0.506429277942631
olmo2_1124_7b_inst,Hidden States Maha,2,harmful,0.5382381413359149
olmo2_1124_7b_inst,Hidden States Maha,3,harmful,0.5494716618635928
olmo2_1124_7b_inst,Hidden States Maha,4,harmful,0.5591603053435115
olmo2_1124_7b_inst,Hidden States Maha,5,harmful,0.5591603053435115
olmo2_1124_7b_inst,Hidden States Maha,6,harmful,0.5591603053435115
olmo2_1124_7b_inst,Hidden States Maha,7,harmful,0.5619047619047619
olmo2_1124_7b_inst,Hidden States Maha,8,harmful,0.5619047619047619
olmo2_1124_7b_inst,Hidden States Maha,9,harmful,0.5619047619047619
olmo2_1124_7b_inst,Hidden States Maha,10,harmful,0.5619047619047619
olmo2_1124_7b_inst,Hidden States Maha,11,harmful,0.5619047619047619
olmo2_1124_7b_inst,Hidden States Maha,12,harmful,0.5660018993352327
olmo2_1124_7b_inst,Hidden States Maha,13,harmful,0.5660018993352327
olmo2_1124_7b_inst,Hidden States Maha,14,harmful,0.5660018993352327
olmo2_1124_7b_inst,Hidden States NMC,1,harmful,0.839943342776204
olmo2_1124_7b_inst,Hidden States NMC,2,harmful,0.8418079096045198
olmo2_1124_7b_inst,Hidden States NMC,3,harmful,0.8455056179775281
olmo2_1124_7b_inst,Hidden States NMC,4,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,5,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,6,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,7,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,8,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,9,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,10,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,11,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,12,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,13,harmful,0.8531663187195546
olmo2_1124_7b_inst,Hidden States NMC,14,harmful,0.8539638386648123
