dataset,model,num_datasets,dataset_type,score,model_type
simplesafety_tests,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.9949748743718593,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,wildguard,harmful,0.5691489361702128,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,aegis,harmful,0.6319365798414496,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,toxichat,harmful,0.8020565552699229,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,wildguard+aegis,harmful,0.5594280607685433,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,wildguard+toxichat,harmful,0.7065337763012182,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,aegis+toxichat,harmful,0.7502903600464577,Hidden States GDA
toxicchat_humanannotated,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.7058823529411765,Hidden States GDA
xstest,mistral7b_inst,wildguard,harmful,0.9148936170212766,Hidden States GDA
xstest,mistral7b_inst,aegis,harmful,0.8024691358024691,Hidden States GDA
xstest,mistral7b_inst,toxichat,harmful,0.8392370572207084,Hidden States GDA
xstest,mistral7b_inst,wildguard+aegis,harmful,0.9148936170212766,Hidden States GDA
xstest,mistral7b_inst,wildguard+toxichat,harmful,0.9230769230769231,Hidden States GDA
xstest,mistral7b_inst,aegis+toxichat,harmful,0.8394004282655246,Hidden States GDA
xstest,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.9173333333333333,Hidden States GDA
aegis,mistral7b_inst,wildguard,harmful,0.8457943925233645,Hidden States GDA
aegis,mistral7b_inst,aegis,harmful,0.9043478260869565,Hidden States GDA
aegis,mistral7b_inst,toxichat,harmful,0.7660668380462725,Hidden States GDA
aegis,mistral7b_inst,wildguard+aegis,harmful,0.8604118993135011,Hidden States GDA
aegis,mistral7b_inst,wildguard+toxichat,harmful,0.8376470588235294,Hidden States GDA
aegis,mistral7b_inst,aegis+toxichat,harmful,0.8923076923076924,Hidden States GDA
aegis,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.8545034642032333,Hidden States GDA
wildguardtest,mistral7b_inst,wildguard,harmful,0.8531468531468531,Hidden States GDA
wildguardtest,mistral7b_inst,aegis,harmful,0.7388963660834454,Hidden States GDA
wildguardtest,mistral7b_inst,toxichat,harmful,0.7029096477794793,Hidden States GDA
wildguardtest,mistral7b_inst,wildguard+aegis,harmful,0.8531468531468531,Hidden States GDA
wildguardtest,mistral7b_inst,wildguard+toxichat,harmful,0.8553459119496856,Hidden States GDA
wildguardtest,mistral7b_inst,aegis+toxichat,harmful,0.7376938637896157,Hidden States GDA
wildguardtest,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.8515406162464986,Hidden States GDA
harmbench,mistral7b_inst,wildguard,harmful,0.9894291754756871,Hidden States GDA
harmbench,mistral7b_inst,aegis,harmful,0.7287234042553191,Hidden States GDA
harmbench,mistral7b_inst,toxichat,harmful,0.7219251336898396,Hidden States GDA
harmbench,mistral7b_inst,wildguard+aegis,harmful,0.9894291754756871,Hidden States GDA
harmbench,mistral7b_inst,wildguard+toxichat,harmful,0.883177570093458,Hidden States GDA
